@relation admission_stats-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute gender {Male,Female,Unknown}
@attribute Firgen numeric
@attribute famincome numeric
@attribute SATCRDG numeric
@attribute SATMATH numeric
@attribute SATWRTG numeric
@attribute SATTotal numeric
@attribute HSGPA numeric
@attribute ACTRead numeric
@attribute ACTMath numeric
@attribute ACTEngWrit numeric
@attribute APIScore numeric
@attribute FirstLang {English,EnglishandAnother,Another}
@attribute HSGPAunweighted numeric
@attribute Firststyrunitsforgpa numeric
@attribute Firststyeartotcumunits numeric
@attribute Firstyrcumgpa {0,1,2,3,4}

@data
Female,1,0.03,0.214286,0.142857,0.3,0.153333,0.522727,0.023734,0.026325,0.019963,0.222222,Another,0.59375,0.302632,0.202614,4
Male,1,0.04,0.232143,0.464286,0.5,0.36,0.526515,0.096859,0.45701,0.415976,0.555556,Another,0.575893,0.421053,0.313725,4
Female,0,0.07758,0.714286,0.5,0.633333,0.606667,0.719697,0.74712,0.565608,0.525481,0.888889,English,0.8125,0.363966,0.253654,4
Female,1,0.015,0.36959,0.394102,0.40614,0.347568,0.67803,0.096859,0.239813,0.196967,0.555556,Another,0.754464,0.381579,0.176471,4
Female,0,0.13,0.5,0.392857,0.566667,0.46,0.715909,0.494241,0.529408,0.561982,0.777778,English,0.727679,0.473684,0.326797,3
Male,0,0.075898,0.607143,0.767857,0.65,0.673333,0.681818,0,0,0,0.888889,Another,0.660714,0.473684,0.522876,3
Male,1,0.04,0.571429,0.607143,0.516667,0.546667,0.742424,0,0,0,0.777778,EnglishandAnother,0.714286,0.526316,0.542484,3
Male,1,0.065,0.339286,0.625,0.516667,0.466667,0.795455,0,0,0,0.479155,English,0.857143,0.578947,0.30719,3
Male,0,0.136,0.553571,0.857143,0.7,0.706667,0.727273,0,0,0,1,Another,0.669643,0.289474,0.245098,3
Female,0,0.2,0.428456,0.45563,0.46248,0.415051,0.791667,0.783246,0.819003,0.561982,0.666667,English,0.84375,0.5,0.372549,3
Male,0,0.2,0.535714,0.678571,0.6,0.593333,0.795455,0,0,0,0.888889,EnglishandAnother,0.857143,0.460526,0.326797,3
Male,0,0.052,0.660714,0.839286,0.716667,0.746667,0.829545,0.602618,0.782804,0.598484,0.555556,English,0.799107,0.552632,0.503268,3
Male,1,0.095,0.732143,0.928571,0.816667,0.846667,0.69697,0,0,0,1,EnglishandAnother,0.776786,0.526316,0.30719,3
Female,0,0.035,0.571429,0.303571,0.683333,0.5,0.602273,0,0,0,0.555556,English,0.53125,0.526316,0.379085,3
Male,0,0.001318,0.589286,0.517857,0.6,0.553333,0.719697,0,0,0,0.666667,English,0.732143,0.526316,0.359477,3
Female,1,0.02,0.339286,0.214286,0.416667,0.273333,0.753788,0,0,0,0.111111,EnglishandAnother,0.709821,0.526316,0.248366,3
Female,1,0.019,0.535714,0.696429,0.6,0.6,0.924242,0.602618,0.601807,0.634985,0.555556,Another,0.910714,0.526316,0.385621,1
Male,0,0.148,0.714286,0.75,0.8,0.766667,0.848485,0.927749,0.674206,0.780991,1,English,0.861607,0.578947,0.493464,1
Male,0,0.145,0.589286,0.821429,0.616667,0.673333,0.753788,0.602618,0.601807,0.561982,0.666667,English,0.888393,0.552632,0.294118,1
Female,1,0.088,0.446429,0.482143,0.566667,0.473333,0.772727,0.530366,0.312212,0.415976,1,EnglishandAnother,0.866071,0.473684,0.359477,1
Male,0,0.14,0.75,0.767857,0.816667,0.793333,0.727273,0.057413,0.055889,0.054853,0.444444,English,0.691964,0.526316,0.411765,1
Male,1,0.022,0.125,0.607143,0.383333,0.326667,0.587121,0.057413,0.055889,0.054853,0.222222,Another,0.691964,0.381579,0.30719,1
Unknown,0,0.149249,0.607143,0.571429,0.516667,0.546667,0.776515,0.057413,0.055889,0.054853,0.666667,English,0.803571,0.447368,0.405229,1
